Time,Altitude,Pressure,Velocity,SolidFuel,LiquidFuel,Temperature,Angle
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
22394324.097338162,103284.03170939034,0.0,796.7018860622453,240.0,5729.1633224487305,4.0,89.95851639577728
